Simulation error	Error en la simulación
Use of vaccination is specified, but is not triggered by any production type.	El  uso de vacunación ha sido especificado pero no ha sido disparado por ningún tipo de producción
Vaccination is specified but is not used for any production type.	Se ha especificado vacunación pero no se se usa para ningún tipo de producción
Production type vaccination priorities are ambiguous: please double-check these parameters.	La prioridades de vacunación por tipo de producción son ambiguas:por favor verifique estos parámetros
Use of zones is specified, but is not triggered by any production type.	El uso de zonas ha sido especificado pero no ha sido disparado por ningún tipo de producción.
Probability of observing clinical signs versus time clinical is not set.	La probabilidad de observar signos clínicos versus tiempo clínico no ha sido configurada
Probability of observing clinical signs versus time clinical is not valid:	La probabilidad de observar signos clínicos versus tiempo clínico no es válida:
Probability of reporting versus time since first detection is not set.	La probabilidad de reportar versus tiempo desde la primera detección no ha sido configurada
Probability of reporting versus time since first detection is not valid:	La probabilidad de reportar versus tiempo desde la primera detección no es válida:
Probability of reporting versus time since first detection is not valid: detection will not occur if the baseline probability is 0.	La probabilidad de reportar versus tiempo desde la primera detección no es válida: no habrá detección si la probabilidad basal es 0
Minimum time between vaccinations must be equal to or greater than 0.	El tiempo mínimo entre vacunaciones debe ser igual o mayor que 0.
Ring radius must be greater than or equal to 0.	El radio del anillo debe ser mayor o igual a 0
Destruction program delay must be a greater than or equal to 0 days.	La demora del programa de destrucción debe ser mayor o igual a 0 días
Destruction capacity is not set.	La capacidad de destrucción no ha sido configurada.
Destruction capacity is not valid:	La capacidad de destrucción no es válida.
Vaccination program delay (number of detected units) must be a greater than or equal to 0 days.	La demora del programa de vacunación (número de unidades detectadas) debe ser mayor o igual a 0 días.
Vaccination capacity is not set.	La capacidad de vacunación no ha sido configurada.
Vaccination capacity is not valid:	La capacidad de vacunación no es válida.
Global control parameters:	Parámetros de control global:
Direct contact parameters are not set	Los parámetros de contacto directo no han sido configurados
Indirect contact parameters are not set	Los parámetros de contacto indirecto no han sido configurados
Airborne spread parameters are not set	Los parámetros de diseminación aerógena no han sido configurados
File name for daily states file is unspecified.	Nombre de archivo de estado diario no especificado
The daily states file cannot be written in the specified directory.	El archivo de estado diario no puede ser escrito en el directorio especificado
File name for NAADSMap file is unspecified.	El nombre de archivo del NAADSMap no ha sido especificado
The folder selected for NAADSMap output cannot be written to.	La carpeta seleccionada para la salida del NAADSMap no puede ser escrita.
Vaccination setup cost is not set.	Los costos de configuración de vacunaciones no están establecidos
Vaccination threshold is not set.	El umbral de vacunación no ha sido configurado
Baseline vaccination cost is not set.	La línea de base de vacunaciones no ha sido configurada.
Additional vaccination cost is not set.	Costos adicionales de vacunación no han sido configurados
Appraisal cost is not set.	Costos de tasación no configurados
Cleaning and disinfection cost is not set.	Costos de limpieza y desinfección no configurados
Euthanasia cost is not set.	Costos de eutanasia no configurados.
Indemnification cost is not set.	Costos de indemnificación no configurados
Disposal cost is not set.	Costos de descarte no configurados
Zone has an invalid ID number.	La zona tiene un número de ID inválido.
Radius must be greater than 0 km.	El radio debe ser mayor que 0 km.
Zone is unnamed.	Zona sin nombre.
Zone	Zona
Use of zones is indicated, but no zones are defined.	El uso de zonas ha sido indicado pero las zonas no han sido definidas
Each zone must have a unique name.	Cada zona debe tener un nombre único
Detection multiplier is unspecified.	El multiplicador de detección no ha sido especificado
Effect of zone on direct movement rate is unspecified.	El efecto de zona sobre la tasa de movimiento directo no ha sido especificado
Direct movement rate function is not valid:	La función de la tasa de movimiento directo no es válida:
Effect of zone on indirect movement rate is unspecified.	El efecto de zona sobre la tasa de movimiento indirecto no ha sido especificado
Indirect movement rate function is not valid:	La función de la tasa de movimiento indirecto no es válida:
Cost of surveillance is unspecified.	El costo de vigilancia no ha sido especificado.
Parameters for zone "xyz":	Parámetros de zona "xyz":
Preview is not available for fixed values.	Vista previa no disponible para valores fijos
Function parameters are not valid:	Parámetros de función inválidos:
Function is unspecified.	Función no especificada.
All probabilities must be at least 0.	Todas las probabilidades deben ser por lo menos 0
Each x value must be greater than the preceding one.	Cada valor de x debe ser mayor que el valor anterior
Probability of reporting infectious cattle	Probabilidad de reportar bovino infectado
Indirect contact distance	Distancia de contacto indirecto
Immune period vaccination	Período de inmunidad vacunal
Probability of reporting	Probabilidad de reporte
Immune period	Período inmune
Latent period - cattle	Período de bovino latente
Subclinical period - cattle	Período de bovino subclínico
Clinical period - cattle	Período de bovino clínico
Direct contact distance	Distancia de contacto directo
1 day shipping delay	Demora de transporte de 1 día
Unrestricted movement	Movimiento no restringido
Probability of observing clinical signs	Probabilidad de observar signos clínicos
Latent period - swine	Período de cerdo latente
Subclinical period - swine	Período de cerdo subclínico
Infectious period - swine	Período de cerdo infeccioso
1 day delay	demora de 1 día
Virtually unlimited capacity	Capacidad virtual ilimitada
High vaccination capacity	Alta capacidad de vacunación
This file contains a sample scenario for an outbreak of a highly contagious disease.  This file may serve as an example that can be modified for other uses, but parameters in this file should not be considered definitive or accurate for any particular disease or situation.	Este archivo contiene una muestra de situación de un brote de enfermedad altamente contagiosa.  Este archivo puede servir de ejemplo y ser modificado para otros usos pero los parámetros de este archivo no deben ser considerados definitivos o ciertos para niguna enfermedad o situación particular.
Swine	Cerdo
Language preferences	Prefencia de lenguaje
English	Inglés
Spanish	Español
Always use the selected language	Use siempre el lenguaje seleccionado
New language preferences will take effect the next time NAADSM is run.	La preferencia de nuevo lenguaje se hará efectiva la próxima vez que corra el NAADSM.
Language preferences changed	El lenguaje de preferencia ha cambiado
Automatically detect language settings	Detectar automáticamente las configuraciones de lenguaje
Note: Only English and Spanish are currently available.	Nota: Sólo inglés y español se encuentran disponibles por el momento
(Selected folder is read-only)	(La carpeta seleccionada es "solo para leer")
Browse for folder	Buscar por carpeta
Selected folder:	Carpeta seleccionada
Create new folder	Crear una nueva carpeta
lblFolder	lblFolder
Select a folder from the list below:	Seleccionar una carpeta de la siguiente lista
Please enter a name for the new folder:	Favor de entrar un nombre para la nueva carpeta
New folder name	Nuevo nombre para la carpeta
A folder with this name already exists.	Ya existe una carpeta con este nombre
Folder creation failed	Falla en la creación de la carpeta
The new folder could not be created: you may not have sufficient permission to create it in the selected folder.	No se pudo crear una nueva carpeta: posiblemente no tenga suficientes permisos en la carpeta seleccionada.
The selected folder cannot be written to: you may not have sufficient permission to write to it.  Please select a different folder.	No se puede escribir la carpeta seleccionada:posiblemente no tenga los permisos necesarios para escribirla.Por favor seleccione otra carpeta.
Folder is read-only	Esta carpeta es inalterable
Stability of the mean over iteration	Estabilidad de la media durante la repetición
TChart	TChart
Days of simulation	Días de simulación
Day of outbreak	Días de brote
Cost ($)	Costo ($)
Direct costs of outbreak by day	Costos directos diarios del brote
Proportion of units X 100%	Proporción de unidades X 100%
x units go here:  Title property- > Axis -> Title	x units go here:  Title property- > Axis -> Title
y units go here:  Title property- > Axis -> Title	y units go here:  Title property- > Axis -> Title
Probability density function	Función de densidad de probabilidad
(Unnamed PDF)	(FDP sin nombre)
(Unnamed REL)	(REL sin nombre)
Detect&ion	Detecc&ión
Dest&ruction	Dest&rucción
&Tools	&Herramientas
&Language settings...	&Configuración de lenguaje
NAADSM Language settings	Configuración de lenguaje del NAADSM
Please select a language:	Por favor, elija el lenguaje:
Always prompt user for a language selection	Siempre consulte al usuario para seleccionar lenguaje
Always use selected language	Siempre use el lenguaje seleccionado
Always use this computer's default language	Siempre use el lenguaje de defecto de la computadora
Warning	Advertencia
Error	Error
Information	Información
Confirm	Confirmar
&Yes	&Sí
&No	&No
No help available	Ayuda no disponible
&Abort	&Abortar
&Retry	Segui&r intentando
&Ignore	&Ignorar
&All	&Todos
N&o to All	N&o por todos
Yes to &All	Sí &por todos
Application exception	Excepción en la aplicación
lblMessage	lblMessage
lblCounter	lblCounter
p5	p5
p25	p25
p50	p50
p75	p75
p95	p95
StdDev	DesvEst
Reason for xyz	Razones para xyz
Priority order	Orden de prioridad
Enter a new order number to change priority	Entre un nuevo orden numérico para cambiar prioridades
Activity	Actividad
events	eventos
unit	unidad
abc units shown (of xyz units total)	Se exhiben abc unidades (del total xyz de unidades)
xyz units	xyz unidades
&Edit	&Editar
(Unnamed function)	Función sin nombre
Problems were found with this scenario.  These problems must be corrected before this scenario can be run:	Se hallaron problemas con esta situación. Los problemas deben ser correjidos antes de correr la situación:
Problems were found with this scenario.  These problems must be corrected before this scenario can be exported:	Se hallaron problemas con esta situación. Los problemas deben ser correjidos antes de exportar la situación:
Trace-back investigations	Investigaciones de rastreo retrospectivo
from	desde
Range of wind direction (0-360 degrees,  0 degrees = north, proceeding clockwise):	Rango de dirección del viento (0-360 grados, 0 grados=norte,procediendo en dirección horaria)
Wind direction (blue indicates selected range):	Dirección del viento (el rango seleccionado se indica en azul)
Reason for vaccination	Razón para vacunación
Ring	Anillo
pnlBeforeProdType	pnlBeforeProdType
pnlAfterProdType	pnlAfterProdType
pnlBeforeDiseaseState	pnlBeforeDiseaseState
pnlAfterDiseaseState	pnlAfterDiseaseState
pnlHerdCounter	pnlHerdCounter
mnuMain	mnuMain
lblProdType	lblProdType
lblFunctionDescr	lblFunctionDescr
The format of the selected scenario file has been updated, and output has been cleared.	El formato del archivo de situación seleccionado ha sido actualizado y lo resultados de han borrado
If you wish to keep the old version, select File -> Save As... now to save the updated scenario file with a new name, or File -> Close to discard the changes.	Si desea conservar la versión vieja elija ahora Archivo ->Guardar como... para guardar la situación actual con un nuevo nombre, o Cerrar->Archivo para rechazar los cambios.
The format of the selected scenario file has been updated.	Se ha actualizado el formato del archivo de situación seleccionado.
The minimum value must be less than the maximum.	El valor mínimo debe ser menor que el valor máximo
Unit zone	Unidad zona
event	evento
(filtered)	(filtrado)
Infection	Infección
State change	Cambio de estado
Trace-direct	Rastreo directo
Trace-indirect	Rastreo indirecto
Zone change	Cambio de zona
Zone focus created	Se ha creado un foco zonal
Source zone	Zona fuente
Recipient zone	Zona recipiente
exposure	exposición
exposures	exposiciones
true	cierto
false	falso
Spanish translation:	Traducción en español
mainMenuBar	mainMenuBar
(Not a number)	(No es un número)
(Negative infinity)	(Infinito negativo)
(Infinity)	(Infinito)
(Error during number-to-string conversion)	(Error en la conversión número a cadena)
Insert row	Insertar línea
Delete row	Borrar ahora
NatImmune	InmunidadNat
VacImmune	InmunidadVac
Animals in newly detected units for each xyz-day interval	Animales en unidades detectadas recientemente por cada intervalo xyz-día
Animals in newly infected units for each xyz-day interval	Animales en unidades infectadas recientemente para cada intervalo xyz-día
New language settings will take effect the next time NAADSM is started.	Las configuraciones para el nuevo lenguaje serán efectivas la próxima vez que inicie el NAADSM
btnYes	btnYes
btnNo	btnNo
Lognormal (2nd form)	Lognormal (2da forma)
Relational function	Función de relación
Relational	Función de relación
grpButtons	grpButtons
lblErrorMessage	lblErrorMessage
General	General
Reading scenario parameters...	Leyendo los par metros de situación
The parameter file was successfully imported.  The resulting scenario database is now open.	El archivo de par metros fue importado exitosamente.  La base de datos de la situación resultante est abierta ahora.
Import successful	Importe exitoso
Potential problems during import	Problemas potenciales durante el importe
The parameter file was imported, with the following errors and/or warnings:	El archivo de par metros fue importado, con los siguientes errores o advertencias:
abc units	abc unidades
Cumulative number of units	Número acumulativo de unidades
Cumulative number of animals	Número acumulativo de animales
TOTAL	TOTAL
Ring*	Anillo*
Clinical detections*	Detección de signos clínicos*
Direct traces (successfully traced)*	Rastreos de contactos directos (Rastreados exitosamente)*
Indirect traces (successfully traced)*	Rastreos de contactos indirectos (Rastreados exitosamente)*
List separator:	
lblDecimalSymbol	
Label3	Label3
Use system characters for CSV import/export	
Use specified characters for CSV import/export in NAADSM	
Kim.N.Forde-Folle@aphis.usda.gov	
Kim.N.Forde-Folle@aphis.usda.gov@aphis.usda.gov	
Animal Health and Production Division	
Canadian Food Inspection Agency	
Shaun Case	
Javier Sanchez	
Animal Health Risk Assessement Unit	
Anthony "Drew" Schwickerath	
Celia Antognoli	
Noa Roman-Muniz	
This is an experimental version of NAADSM.  This version deviates from the published conceptual specification in ways that may significantly affect the simulation outcome.	
A required program library (xyz) cannot be found or is out of date.	La biblioteca de programa requerida (xyz) no se encuentra o está desactualizada.
Required program libraries (xyz) cannot be found or are out of date.	La biblioteca de programa requerida (xyz) no se encuentra o está desactualizada.
Initially infected	Infectado inicialmente
Airborne*	Diseminación aerógena*
Direct contact*	Contacto directo*
Indirect contact*	Contacto indirecto*
Initially destroyed	Destruido inicialmente
Direct traces	Rastreos de contactos directos
Indirect traces	Rastreos de contactos indirectos
Initially vaccinated	Vacunado inicialmente
iterations	repeticiones
Number of units destroyed for any reason over the course of an iteration.	Número de unidades destruidas por cualquier razón durante el curso de una repetición.
Total number of animals in all units destroyed for any reason over the course of an iteration.	Total número de animales en todas las unidades destruidas por cualquier razón durante el curso de una repetición.
Number of iterations in which infected units were detected	Número de repeticiones en las cuales se detectaron unidades infectadas
Number of iterations in which vaccination occurred	Número de repeticiones en las cuales hubo vacunación
Number of iterations in which the active disease phase ended	Número de repeticiones en las cuales la fase activa de la enfermedad terminó
Length of the active disease phase in the specified iteration	Duración de la fase activa de la enfermedad en la repetición especificada
Number of iterations in which the outbreak ended	Número de repeticiones en las cuales el brote terminó
Length of the outbreak in the specified iteration	Duración del brote en la repetición especificada
at	en
and	y
Daily zone status for 1 iteration	Estado diario de zona para 1 repetición
Daily unit status for 1 iteration	Estado diario de unidades para 1 repetición
Invalid values	Valores inválidos
At least one value is outside the range allowed for this function	Al menos un valor está afuera del rango permitido para esta función
Iteration status: completed	Estado de repetición: completado
Iteration status: aborted	Estado de repetición: abortado
Iteration status: running	Estado de repetición: ejecutando
Tracing is indicated, but parameters are not set.	Rastreo es indicado, pero los par metros no est n establecidos.
Tracing parameters are not valid:	Los par metros de rastreo no son v lidos:
Tracing cost parameters are not valid:	Los par metros de costo de rastreo no son v lidos:
Tracing is specified but is not used for any production type.	El rastreo est especificado, pero no se usa para ningún tipo de producción.
No tracing delay	No hay demora de rastreo
Delay for tracing is not set.	La demora de rastreo no est  establecida.
Delay for tracing is not valid:	La demora de rastreo no es v lida:
Detection multiplier for forward traces of direct contact is not set.	El multiplicador de detección para ratreos prospectivos de contacto directo no est establecido.
Detection multiplier for forward traces of indirect contact is not set.	El multiplicador de detección para ratreos prospectivos de contacto indirecto no est establecido.
Detection multiplier for trace back of direct contacts is not set.	El multiplicador de detección para rastreos retrospectivos de contacto directo no est establecido.
Detection multiplier for trace back of indirect contacts is not set.	El multiplicador de detección para rastreos retrospectivos de contacto indirecto no est establecido.
Test sensitivity must be between 0 and 1.	La sensibilidad de la prueba debe estar entre 0 y 1.
Test specificity must be between 0 and 1.	La especificidad de la prueba debe estar entre 0 y 1.
Delay for test results is not set.	La demora para los resultados de la prueba no est  establecida.
Delay for test results is not valid:	La demora para los resultados de la prueba no es v lida:
Diagnostic testing is indicated, but parameters are not set.	Pruebas diagnósticas son indicadas, pero los par metros no est n establecidos.
Diagnostic testing parameters are not valid:	Los par metros de pruebas diagnósticas no son v lidos:
&Diagnostic testing of traced units	&Pruebas diagnósticas en unidades rastreadas
&Examination of traced units	&Examen en unidades rastreadas
Examination of traced herds for clinical signs is specified but is not used for any production type.	El examen de signos clínicos en hatos rastreados est especificado pero no se usa para ningún tipo de producción.
Diagnostic testing of traced herds is specified but is not used for any production type.	Pruebas diagnósticas en hatos rastreados son indicadas, pero los par metros no est n establecidos.
(Unused/disabled)	(No usado/ incapacitado)
Destroy units of this production type that have had DIRECT contact with a detected unit as identified by TRACE FORWARD*	Destruir unidades de este tipo de producción que hayan tenido contacto DIRECTO con unidades detectadas identificadas por RASTREO PROSPECTIVO*
Destroy units of this production type that have had INDIRECT contact with a detected unit as identified by TRACE FORWARD*	Destruir unidades de este tipo de producción que hayan tenido contacto INDIRECTO con unidades detectadas identificadas por RASTREO PROSPECTIVO*
Destroy units of this production type that have had DIRECT contact with a detected unit as identified by TRACE BACK*	Destruir unidades de este tipo de producción que hayan tenido contacto DIRECTO con unidades detectadas identificadas por RASTREO RETROSPECTIVO*
Destroy units of this production type that have had INDIRECT contact with a detected unit as identified by TRACE BACK*	Destruir unidades de este tipo de producción que hayan tenido contacto INDIRECTO con unidades detectadas identificadas por RASTREO RETROSPECTIVO*
Conduct tracing for some or all production types	Conducir rastreo para todos o algunos tipos de producción
Examine some or all traced units for clinical signs of disease	Examinar signos clínicos de la enfermedad en algunas o todas las unidades rastreadas
Perform diagnostic testing for some or all traced herds	Haga pruebas diagnósticas en algunos o todos los hatos rastreados
Multiplier for the probability of observing clinical signs:	Multiplicador para la probabilidad de observación de signos clínicos:
Examine units identified by TRACE-FORWARD of DIRECT contact for clinical signs of disease*	Examinar signos clínicos de la enfermedad en unidades identificadas por RASTREO PROSPECTIVO de contacto DIRECTO*
Examine units identified by TRACE-FORWARD of INDIRECT contact for clinical signs of disease*	Examinar signos clínicos de la enfermedad en unidades identificadas por RASTREO PROSPECTIVO de contacto INDIRECTO*
Examine units identified by TRACE-BACK of DIRECT contact for clinical signs of disease*	Examinar signos clínicos de la enfermedad en unidades identificadas por RSTREO RETROSPECTIVO de contacto DIRECTO*
Examine units identified by TRACE-BACK of INDIRECT contact for clinical signs of disease*	Examinar signos clínicos de la enfermedad en unidades identificadas por RASTREO RETROSPECTIVO de contacto INDIRECTO*
Perform diagnostic testing of units identified by TRACE-FORWARD of DIRECT contact*	Haga pruebas diagnósticas en unidades identificadas por RASTREO PROSPECTIVO de contacto DIRECTO*
Perform diagnostic testing of units identified by TRACE-FORWARD of INDIRECT contact*	Haga pruebas diagnósticas en unidades identificadas por RASTREO PROSPECTIVO de contacto INDIRECTO*
Perform diagnostic testing of units identified by TRACE-BACK of DIRECT contact*	Haga pruebas diagnósticas en unidades identificadas por RASTREO RETROSPECTIVO de contacto DIRECTO*
Perform diagnostic testing of units identified by TRACE-BACK of INDIRECT contact*	Haga pruebas diagnósticas en unidades identificadas por RASTREO RETROSPECTIVO de contacto INDIRECTO*
Delay in obtaining test results	Demora en obtener los resultados de las pruebas
Test sensitivity:	Sensibilidad de la prueba:
Test specificity:	Especificidad de la prueba:
For tracing of DIRECT contacts:	Para rastreo de contactos DIRECTOS:
For tracing of INDIRECT contacts:	Para rastreo de contactos INDIRECTOS:
Delay for carrying out trace investigation:	Demora en llevar a efecto investigación de rastreo:
For ANY trace investigation:	Para CUALQUIER investigación de rastreo:
Conduct TRACE FORWARD for DIRECT contacts	Conduzca RATREO PROSPECTIVO para contactos DIRECTOS
Conduct TRACE FORWARD for INDIRECT contacts	Conduzca RATREO PROSPECTIVO para contactos INDIRECTOS
Conduct TRACE BACK for DIRECT contacts	Conduzca RATREO RETROSPECTIVO para contactos DIRECTOS
Conduct TRACE BACK for INDIRECT contacts	Conduzca RATREO RETROSPECTIVO para contactos INDIRECTOS
Scenario parameters: Diagnostic testing	Parámetros de situación: Pruebas diagnósticas
Diagnostic testing	Pruebas diagnósticas
Scenario parameters: Unit examination for clinical signs	Parámetros de situación: Examen de signos clínicos en unidad
Unit examination for clinical signs	Examen de signos clínicos en unidad
Select production type combinations	Seleccione combinaciones de tipo de producción
To copy the parameters for the current production type combination to other combinations, select one or more from the list below and click 'Copy':	Para copiar los par metros del tipo de producción actual a otras combinaciones, seleccione uno o m s de la lista a continuación y haga clic en 'copiar'
&Copy	&Copiar
Press CTRL + left mouse button to select multiple combinations	Oprima CTRL + botón secundario del ratón para seleccionar combinaciones múltiples
Select production types	Seleccione tipos de producción
To copy the parameters for the current production type to other production types, select one or more from the list below and click 'Copy':	Para copiar los par metros del tipo de producción actual a otros tipos de producción, seleccione uno o m s de la lista a continuación y haga clic en 'copiar'
C&opy...	C&opiar...
Copyright ©	Derechos de autor ©
Animal Population Health Institute at Colorado State University and University of Guelph	Animal Population Health Institute a Colorado State University y University of Guelph
Copyright © 2003 - 2009 Animal Population Health Institute at Colorado State University and University of Guelph	Derechos de autor © 2003 - 2009 Animal Population Health Institute a Colorado State University y University of Guelph
Days in staus	Días en ese estado
n:	n:
p:	p:
M:	M:
D:	D:
s:	s:
Theta:	Theta:
a:	a:
Create sample model scenario database with the file name...	
Days in state	Días en ese estado
lblProdTypePair	lblProdTypePair
The following errors were reported:	
The file does not seem to be a CSV file, and cannot be parsed.	
Column "id" is missing.	
Column "productionType" is missing.	
Column "herdSize" is missing.	
Column "lat" is missing.	
Column "lon" is missing.	
An error occurred at or near row xyz.	
Negative binomial	
Pareto	Pareto
View	
(Unsaved)	
Herd-level disease state durations	
Model:	
Date and time:	
Prevalence (proportion) of latent infection on each day of each iteration	
Prevalence (proportion) of subclinical disease on each day of each iteration	
Prevalence (proportion) of clinical disease on each day of each iteration	
Prevalence (proportion) of infected individuals (latent, subclinical, and clinical) on each day of each iteration	
Prevalence (proportion) of infectious individuals (subclinical and clinical) on each day of each iteration	
Cumulative incidence (proportion) of death from disease on each day of each iteration	
Cumulative incidence (proportion) of death from other causes on each day of each iteration	
Cumulative incidence (proportion) of death from any cause on each day of each iteration	
Plain text file (*.txt)	
The selected file could not be saved.  Please ensure that you have adequate permissions and disk space.	
&Stop	
Execution of the model was stopped before completion.	
Model stopped	
The decimal symbol is the same character as the list separator.	
This will cause problems when you attempt to use delimited plain-text files.	
You can change these system settings using the Windows Control Panel (see the Control Panel option labeled "Regional and Language Options").	
Alternatively, you can specify characters to use within NAADSM.	
Characters cannot be the same	
Please specify both characters.	
Characters must be specified	
Please specify different characters.	
Probability of spread at 1 km must be less than 1 for exponential decay.	
The first Y value of a piecewise PDF must be 0.	
The last Y value of a piecewise PDF must be 0.	
Curve standardization resulted in negative Y values.	
The area under the curve does not add to 1.	
Each X value must be greater than the preceding X value.	
The sum of the Y values of a piecewise PDF must be greater than 0.	
The resulting chart would have no area.	
Total number of units that become infected over the course of an iteration	
Total number of animals in units that become infected over the course of an iteration	
Total number units exposed by any contact  to any infected unit over the course of an iteration	
Total number of animals in units exposed cy any contact  to any infected unit over the course of an iteration	
Number of units exposed by direct contact on the indicated day	
Number of animals in units exposed by direct contact on the indicated day	
Number of units exposed by indirect contact on the indicated day	
Number of animals in units exposed by indirect contact on the indicated day	
Detection parameters for xyz:	
The selected model file xyz does not exist.	
Open a model scenario database	
Cannot open file	
The selected file xyz cannot be opened.	
This probability density function cannot be used to represent a proportion or a probability.	
Unbounded probability density functions cannot be used to represent proportions or probabilities.	
Proportions and probabilities must be between 0 and 1, inclusive.	
An error occurred while loading at least one relational or probability density function.	
This may have occurred if the scenario database was changed with an application other than NAADSM.	
NAADSM will attempt to automatically correct this situation, but some problems may still exist.	
Please double-check your parameters before running this scenario.	
Database error	
lblWebsite	lblWebsite
Caroline Dub'#23	Caroline Dub'#23
Copyright '#169' 2003 - 2008 Animal Population Health Institute at Colorado State University and University of Guelph	Copyright '#169' 2003 - 2008 Animal Population Health Institute at Colorado State University and University of Guelph
Number of iterations in which destruction occurred	
Iteration status: complete	Estado de repetición: completado
CleaningAndDisposal	LimpiezaYDesinfección
DestrSubtotal	SubtotalDestr
VaccSetup	ConfiguraciónVac
VaccSubtotal	SubtotalVac
TotalCosts	Total
Proportion of xyz units X 100%	
pnlEventCounter	pnlEventCounter
Receipient status	
Receipient zone	
This combination of production types is already selected	
Apparent Epidemic Curve	Curva epidémica aparente
Actual Epidemic Curve	Curva epidémica real
